Frame,Arm Reach,Cadence,Objects,Area Size
542,0.13659909638924078,1.0,3228,666503.0
543,0.22374159000827643,1.0,2288,1179093.0
544,0.21732764228485243,1.0,3729,980105.0
545,0.0825197279645414,1.0,4463,426967.5
546,0.08028240604295651,1.0,4632,434648.0
547,0.11120210001523226,1.0,4883,408758.5
548,0.13303454675059667,1.0,5213,414613.5
549,,1.0,5017,595105.5
550,0.07951174177465198,2.0,5253,561651.5
551,0.06078592647400697,1.0,4878,894842.0
552,0.13360733435404568,1.0,5051,850349.0
553,0.15723399334040067,1.0,4912,433362.0
554,0.00613344465373703,1.0,4771,532532.0
555,0.16159231620532677,1.0,4846,807718.5
556,0.14921541217864648,1.0,4321,888715.0
557,0.15037603059580168,1.0,3913,725079.5
558,0.1761918913700819,1.0,4437,924377.0
559,0.17700202290244843,1.0,4920,891299.5
560,0.18202717240439364,1.0,4972,877119.0
561,0.16762264328182114,1.0,4726,863523.0
562,0.15523459275195264,1.0,4076,816878.0
563,0.07625329229670226,1.0,4531,714077.0
564,0.0872900957727827,1.0,4630,493471.0
565,0.06718791783979725,1.0,5237,458512.0
566,0.08616795902624556,1.0,5110,420451.0
567,0.08682043396087857,1.0,4968,470914.0
568,0.14675379330520047,1.0,4578,507122.5
569,0.13998366730905465,1.0,4948,731901.5
570,0.08715237423174771,1.0,4392,976518.5
571,0.030271296095679048,1.0,4290,905561.5
572,,1.0,5102,758839.0
573,,1.0,5185,840972.5
574,,1.0,4837,869741.0
575,,1.0,5057,812283.0
576,0.22803309172729672,5.0,4968,718022.0
577,0.17301956267023874,1.0,5014,607854.5
578,0.11841095780273797,1.0,5533,503575.5
579,0.10572632612615081,1.0,5749,522276.0
580,0.10980510311371232,1.0,6325,395737.0
581,0.06317548717391114,1.0,5070,641995.0
582,0.039213527215084344,1.0,4658,666613.5
583,0.04648526677242729,1.0,5251,404355.0
584,0.019603338659379105,1.0,5196,519933.0
585,0.04612344753973744,1.0,5346,560453.5
586,0.041336942690625794,1.0,5204,804190.0
587,0.050908991364929046,1.0,5258,613646.5
588,0.06099657070916672,1.0,5272,567298.0
589,0.06596363844493129,1.0,5294,567082.0
590,0.07625395584940622,1.0,5333,575028.0
591,0.07814314562404015,1.0,5465,577453.0
592,0.07950914300556332,1.0,5556,557151.5
593,0.08130778991065296,1.0,5730,588906.5
594,0.08188711571625072,1.0,5536,475602.5
595,0.08612385492985855,1.0,5858,444862.5
596,0.08840256143413637,1.0,6108,498380.0
597,0.09285444387080544,1.0,6279,501899.5
598,0.15519262412679324,1.0,6271,444579.5
599,0.1299873950267456,1.0,6529,443748.5
600,,1.0,6785,434887.0
601,,1.0,6585,429508.0
602,0.20014523950983962,3.0,6617,419984.5
603,0.172518161907589,1.0,6696,392227.0
604,0.23461757677117548,1.0,6210,481630.5
605,0.29463760451049475,1.0,6069,447617.5
606,0.23427915897518709,1.0,6717,303213.0
607,0.23456968228214162,1.0,6843,633973.5
608,0.2760134239140632,1.0,6834,701840.5
609,,1.0,6204,650031.0
610,,1.0,5977,646563.0
611,,1.0,6023,384358.5
612,,1.0,6071,801854.0
613,,1.0,6022,453435.0
614,0.04306544215942504,6.0,6257,557965.0
615,0.23645400843906308,1.0,7106,329400.5
616,0.14964657186045804,1.0,7781,180065.5
